Question,Option1,Option2,Option3,Option4,Option5,Option6,"Correct Option
(Note:- if correct option is Option1 then insert 1)",Category Name,Marks
"Grand Central Terminal, Park Avenue, New York is the world's",highest railway station,longest railway station,largest railway station,None of the above,,,3,GeneralKnowledge,5
Entomology is the science that studies,The origin and history of technical and scientific terms,Behavior of human beings,Insects,The formation of rocks,None of these,,3,GeneralKnowledge,5
"Eritrea, which became the 182nd member of the UN in 1993, is in the continent of",Africa,Australia,Europe,Asia,None of these,,1,GeneralKnowledge,5
Garampani sanctuary is located at,"Gangtok, Sikkim","Kohima, Nagaland","Diphu, Assam","Junagarh, Gujarat",,,3,GeneralKnowledge,5
For which of the following disciplines is Nobel Prize awarded?,"Literature, Peace and Economics",Physics and Chemistry,Physiology or Medicine,All of the above,,,4,GeneralKnowledge,5
Hitler party which came into power in 1933 is known as,Ku-Klux-Klan,Democratic Party,Labour Party,Nazi Party,,,4,GeneralKnowledge,5
FFC stands for,Federation of Football Council,Film Finance Corporation,Foreign Finance Corporation,None of the above,,,2,GeneralKnowledge,5
Fastest shorthand writer was,Dr. G. D. Bist,J.M. Tagore,Khudada Khan,J.R.D. Tata,,,1,GeneralKnowledge,5
Epsom (England) is the place associated with,Shooting,Horse racing,Polo,Snooker,,,2,GeneralKnowledge,5
"First human heart transplant operation conducted by Dr. Christian Bernard on Louis Washkansky, was conducted in",1958,1922,1967,1968,,,3,GeneralKnowledge,5
Galileo was an Italian astronomer who,developed the telescope,discovered four satellites of Jupiter,discovered that the movement of pendulum produces a regular time measurement,All of the above,,,4,GeneralKnowledge,5
Habeas Corpus Act 1679,provided facilities to a prisoner to obtain either speedy trial or release in bail,states that no one was to be imprisoned without a writ or warrant stating the charge against him,safeguarded the personal liberties of the people against arbitrary imprisonment by the king's orders,All of the above,,,4,GeneralKnowledge,5
Exposure to sunlight helps a person improve his health because,resistance power increases,the infrared light kills bacteria in the body,the ultraviolet rays convert skin oil into Vitamin D,the pigment cells in the skin get stimulated and produce a healthy tan,,,3,GeneralKnowledge,5
Golf player Vijay Singh belongs to which country?,India,Fiji    ,UK,USA,,,2,GeneralKnowledge,5
"Guarantee to an exporter that the importer of his goods will pay immediately for the goods ordered by him, is known as",Letter of Credit (L/C),inflation,laissezfaire,None of the above,,,1,GeneralKnowledge,5
First Afghan War took place in,1839,1848,1843,1833,,,1,GeneralKnowledge,5
Gulf cooperation council was originally formed by,"Bahrain, Kuwait, Oman, Qatar, Saudi Arabia and United Arab Emirates",Second World Nations,Third World Nations,Fourth World Nations,,,1,GeneralKnowledge,5
First China War was fought between,China and Egypt,China and Greek,China and Britain,China and France,,,3,GeneralKnowledge,5
Dumping is,selling of goods abroad at a price well below the production cost at the home market price,"the process by which the supply of a manufacture's product remains low in the domestic market, which",prohibited by regulations of GATT,All of the above,,,1,GeneralKnowledge,5
"For the Olympics and World Tournaments, the dimensions of basketball court are",27 m x 16 m,28 m x 15 m,26 m x 14 m,28 m x 16 m,,,2,GeneralKnowledge,5
"Federation Cup, World Cup, Allywyn International Trophy and Challenge Cup are awarded to winners of",Basketball,Tennis,Cricket,Volleyball,,,4,GeneralKnowledge,5
Each year World Red Cross and Red Crescent Day is celebrated on,8-Jun,18-Jun,8-May,18-May,,,3,GeneralKnowledge,5
Famous sculptures depicting art of love built some time in 950 AD - 1050 AD are,Konark Temple,Khajuraho temples,Mahabalipuram temples,Sun temple,,,2,GeneralKnowledge,5
Gravity setting chambers are used in industries to remove,NOx,SOx,CO,suspended particulate matter,,,4,GeneralKnowledge,5
Guwahati High Court is the judicature of,Assam,Nagaland,Arunachal Pradesh,All of the above,,,4,GeneralKnowledge,5
Friction can be reduced by changing from,rolling to sliding,sliding to rolling,dynamic to static,potential energy to kinetic energy,,,2,GeneralKnowledge,5
During eleventh Antarctic Expedition in Nov. 1991/March 1992 ____ was installed.,Second Permanent Station 'Maitree',First permanent station 'Dakshin Gangotri',SODAR (Sonic Detection And Ranging),None of the above,,,3,GeneralKnowledge,5
"From the following, choose the set in which names of Secretary-Generals of the UNO are arranged in correct chronological order?","Trygve Lie, Dag Hammarskjoeld, U Thant, Kurt Waldheim.","U Thant, Dag Hammarskjoeld, Trygve Lie, Kurt Waldheim.","U Thant, Kurt Waldheim, Dag Hammarskjoeld, Trygve Lie.","Trygve Lie, U Thant , Dag Hammarskjoeld, Kurt Waldheim.",,,1,GeneralKnowledge,5
Fire temple is the place of worship of which of the following religion?,Taoism,Shintoism,Judaism,Zoroastrianism (Parsi Religion),,,4,GeneralKnowledge,5
Film and TV institute of India is located at,Pune (Maharashtra),Pimpri (Maharashtra),Perambur (Tamilnadu),Rajkot (Gujarat),,,1,GeneralKnowledge,5
"Georgia, Uzbekistan and Turkmenistan became the members of UNO in",1991,1992,1993,1994,,,2,GeneralKnowledge,5
Guru Gobind Singh was,the 10th Guru of the Sikhs,"founder of Khalsa, the inner council of the Sikhs in 1699",author of Dasam Granth,All the above,,,4,GeneralKnowledge,5
Hermann Scheer (Germany) received right Livelihood Award in 1999 for,his long standing efforts to end the impunity of dictators,his indefatigable work for thepromotion of solar energy worldwide,showing that organic agriculture is a key to both environmental sustainability and food security,None of the above,,,2,GeneralKnowledge,5
Germany signed the Armistice Treaty on ____ and World War I ended,30-May-18,15-Feb-18,11-Nov-18,19-Jan-18,,,3,GeneralKnowledge,5
"During World War II, when did Germany attack France?",1940,1941,1942,1943,,,1,GeneralKnowledge,5
Frederick Sanger is a twice recipient of the Nobel Prize for,Physics in 1956 and 1972,Chemistry in 1958 and 1980,Physics in 1903 and Chemistry in 1911,Chemistry in 1954 and Peace in 1962,,,2,GeneralKnowledge,5
The ozone layer restricts,X-rays and gamma rays  ,Visible light,Infrared radiation,Ultraviolet radiation,,,4,GeneralKnowledge,5
Eugenics is the study of,genetic of plants,different races of mankind,people of European origin,altering human beings by changing their genetic components,,,4,GeneralKnowledge,5
Euclid was,Greek mathematician,Propounded the geometrical theorems,Contributor to the use of deductive principles of logic as the basis of geometry,All of the above,,,4,GeneralKnowledge,5
Ecology deals with,Cell formation,Birds,Relation between organisms and their environment,Tissues,,,3,GeneralKnowledge,5
Filaria is caused by,Protozoa,Mosquito,Virus,Bacteria,,,2,GeneralKnowledge,5
Goa Shipyard Limited (GSL) was established in,1955,1956,1957,1958,,,3,GeneralKnowledge,5
DRDL stands for,Defence Research and Development Laboratary,Differential Research and Documentation Laboratary,Department of Research and Development Laboratory,None of the above,,,1,GeneralKnowledge,5
Who was the first Indian Chief of Army Staff of the Indian Army ?,Gen. K.M. Cariappa,Gen. Maharaja Rajendra Singhji,Vice-Admiral R.D. Katari,None of the above,,,1,GeneralKnowledge,5
FRS stands for,Federation of Regulation Society,Fellow Research System,Fellow of Royal Society,None of the above,,,3,GeneralKnowledge,5
Escape velocity of a rocket fired from the earth towards the moon is a velocity to get rid of the,Centripetal force due to the earth's rotation,Earth's gravitational pull,Pressure of the atmosphere,Moon's gravitational pull,,,2,GeneralKnowledge,5
GATT (General Agreement on Tariffs and Trade) is,international agreement signed in 1947 between non-communist nations with the object of encouraging,agreement which seeks to achieve its aim by arranging and encouraging bargaining with trade concessi,Both option A and B,None of the above,,,3,GeneralKnowledge,5
Coral reefs in India can be found in,Waltair,Trivandrum,the coast of Orissa,Rameshwaram,,,4,GeneralKnowledge,5
"For safety, the fuse wire used in the mains for household supply of electricity must be made of metal having",low specific heat,high melting point,high resistance,low melting point,,,4,GeneralKnowledge,5
"Golden Temple, Amritsar is India's",largest Gurdwara,oldest Gurudwara,Both option A and B are correct,None of the above,,,1,GeneralKnowledge,5
