Question,Option1,Option2,Option3,Option4,Option5,Option6,"Correct Option
(Note:- if correct option is Option1 then insert 1)",Category Name,Marks
Which State Government approved a new Information Technology (IT) Policy related to Business Process Outsourcing (BPO)? ,Assam,Bihar, Manipur,Meghalaya,Tripura,,1,currentaffairs,5
What is TU142M related to?,Fort,Aircraft Museum,Ships Museum,Defence, Navy,,2,currentaffairs,5
Which State Government has reduced the rate of interest on loan given to women and their self help groups (SHGs) under ‘Saksham Yojna’ from 6.5 per cent to 5 per cent? ,Tripura,Uttarakhand, Manipur,Chhattisgarh,Mizoram,,4,currentaffairs,5
Which is the top ranked institute in India according to QS Asia University Rankings 2018?, SRM,IIT Madras, IIM,IIT Trichy,IIT Bombay,,5,currentaffairs,5
Name the US author who won 2017 Man Booker Prize. , Ali Smith, Fiona Mozley, Auster,George Saunders,Emily Fridlund,,4,currentaffairs,5
Who was honoured with Hridaynath Mangeshkar Award 2017? ,Vishwanathan Anand,Amir Khan,AR Rahman,Jeetendra,Javed Akhtar,,5,currentaffairs,5
"Which ministry was awarded Swachh Bharat Inter-Ministerial Award in Swachh Bharat National Award ceremony on Gandhi Jayanti, in New Delhi? ",Ministry of Fertilizers & Chemicals, Ministry of AYUSH, Ministry of Petroleum & Natural Gas (MoPNG), Ministry of Civil Aviation, Ministry of coal,,3,currentaffairs,5
Which IT company wins the Customer Service Excellence Award 2017 by National Association of Software and Services Companies (NASSCOM)? , Verizon,Cognizant,HCL, CCNA Networking, CSS Corp,,5,currentaffairs,5
Which International Airport (RGIA) has ranked No. 1 in the Airports Council International’s (ACI) service quality survey in the category of 5 to 15 million passengers per annum? , New Delhi’s Indira Gandhi International Airport,Goa’s Dabolim International Airport, Manglore’s Manglore International Airport, Hyderabad’s Rajiv Gandhi International Airport, Banglore’s Kempegowda International Airport,,4,currentaffairs,5
Who is appointed as the Lokayukta (Ombudsman) of the Madhya Pradesh government? , Jeevan Bhawan, Naresh Kumar, Bhagat, Dasgupta,Nawal Kishore,,2,currentaffairs,5
Who has promised India to provide the Electromagnetic Aircraft Launch System(EMALS) technology for aircraft carriers? ,USA,China, Russia,Canada,Japan,,1,currentaffairs,5
What is the main objective of www.odisha.data.gov.in? ,Connecting People for their petitions,Transfering BPL fund,Sharing data with people, Details about Pension,Employment details,,3,currentaffairs,5
Income Tax department launches ______ to answer taxpayer queries? ,Feedback Method,Websites Queries, Face To Face,Online Chat, Ofline App,,4,currentaffairs,5
Name the cricketer on whom BCCI imposed life ban which was restored by the Kerala High Court. ,Ajay Sharma, S Sreesanth, Muhammed Azaruddin, Ajay Jadeja,Manoj Prabakar,,2,currentaffairs,5
Who among the following won Pulitzer price twice? , Naresh Kumar,Saleem Malik,Richard Wilbur,Hansie Cronje, Henry Williams,,3,currentaffairs,5
"Who is Ram Singh Yadav, who passed away recently? ",MP,Journalist,MLA,Poet,Actor,,3,currentaffairs,5
 “Beyond the Dream Girl” is the biography of which actress? ,Hema Malini, Kajol,Priyanka Chopra,Deepika Padukone,Rani Mukerjee,,1,currentaffairs,5
"Which Rajya Sabha MP was inaugurated The AYUSH Festival of Stamps 2017 at Maquinez Palace in Panaji, Goa on October 17, 2017? ",Vinay Tendulkar,Lal Sinh Vadodia,Ahmed Patel, Sanjiv Kumar,Swapan Dasgupta,,1,currentaffairs,5
Which Indian state launched ‘Bhavantar Bhugtan Yojna’ in the presence of the farmers?,Odisha,Gujarat,Madhya Pradesh,Arunachal Pradesh, Bihar,,3,currentaffairs,5
Which State Government organised India International Cherry Blossom Festival which will be held from 8th – 11th November 2017?, Manipur, Meghalaya,Sikkim, Tripura,Goa,,2,currentaffairs,5
