Question,Option1,Option2,Option3,Option4,Option5,Option6,"Correct Option
(Note:- if correct option is Option1 then insert 1)",Category Name,Marks
"In an election between two candidates, one got 55% of the total valid votes, 20% of the votes were invalid. If the total number of votes was 7500, the number of valid votes that the other candidate got, was :",2500,2700,2900,3100,,,2,quantitative,5
"A bag contains 50 P, 25 P and 10 P coins in the ratio 5: 9: 4, amounting to Rs. 206. Find the number of coins of each type respectively.","360, 160, 200","160, 360, 200","200, 360,160","20,01,60,300",,,3,quantitative,5
"If each side of a square is increased by 25%, find the percentage change in its area?", 65.25,56.25,65,56,,,2,quantitative,5
"Tea worth of Rs. 135/kg & Rs. 126/kg are mixed with a third variety in the ratio 1: 1 : 2. If the mixture is worth Rs. 153 per kg, the price of the third variety per kg will be____?", Rs. 169.50,Rs.1700, Rs. 175.50,Rs. 180,,,3,quantitative,5
"If each edge of a cube is increased by 50%, find the percentage increase in Its surface area", 125%,150%,175%,110%,,,1,quantitative,5
"If 20% of a = b, then b% of 20 is the same as :", 4% of a,6% of a,8% of a,10% of a,,,1,quantitative,5
Fresh fruit contains 68% water and dry fruit contains 20% water. How much dry fruit can be obtained from 100 kg of fresh fruits ?,20,30,40,50,,,3,quantitative,5
A clock is set right at 8 a.m. The clock gains 10 minutes in 24 hours will be the true time when the clock indicates 1 p.m. on the following day?, 48 min. past 12,46 min. past 12.,45 min. past 12.,47 min. past 12.,,,1,quantitative,5
"In an examination, a student scores 4 marks for every correct answer and loses 1 mark for every wrong answer. If he attempts all 60 questions and secures 130 marks, the no of questions he attempts correctly is :",35,38,40,42,,,2,quantitative,5
"A can do a piece of work in 10 days, B in 15 days. They work together for 5 days, the rest of the work is finished by C in two more days. If they get Rs. 3000 as wages for the whole work, what are the daily wages of A, B and C respectively (in Rs):"," 200, 250, 300","300, 200, 250","200, 300, 400",None of these,,,2,quantitative,5
"The value of a machine depreciates at the rate of 10% every year. It was purchased 3 years ago. If its present value is Rs. 8748, its purchase price was :",10000, 12000,14000,16000,,,2,quantitative,5
Two cards are drawn at random from a pack of 52 cards.what is the probability that either both are black or both are queen?, 52/221,55/190,55/221,19/221,,,3,quantitative,5
"What was the day of the week on, 16th July, 1776?",Tuesday, Wednesday,Monday,Saturday,,,1,quantitative,5
"If log 2 = 0.3010 and log 3 = 0.4771, the values of log5 512 is", 2.875, 3.875,4.875,5.875,,,2,quantitative,5
At what time between 4 and 5 o'clock will the hands of a watch point in opposite directions?,54 past 4, (53 + 7/11) past 4, (54 + 8/11) past 4, (54 + 6/11) past 4,,,4,quantitative,5
A trader mixes 26 kg of rice at Rs. 20 per kg with 30 kg of rice of other variety at Rs. 36 per kg and sells the mixture at Rs. 30 per kg. His profit percent is:,"No profit, no loss",5%,8%,10%,,,2,quantitative,5
"By selling 45 lemons for Rs 40, a man loses 20 %. How many should he sell for Rs 24 to gain 20 % in the transaction ?",16, 18,20,22,,,2,quantitative,5
"Insert the missing number:- 7, 26, 63, 124, 215, 342, (....)", 391, 421,481,511,,,4,quantitative,5
"If the radius of a circle is decreased by 50%, find the percentage decrease in its area.", 55%,65%,75%, 85%,,,3,quantitative,5
A milkman purchases the milk at Rs. x per litre and sells it at Rs. 2x per litre still he mixes 2 litres water with every 6 litres of pure milk. What is the profit percentage?, 116%,166.66%, 60%,100%,,,2,quantitative,5
The product of two numbers is 2028 and their H.C.F. is 13. The number of such pairs is:,1,2,3,4,,,2,quantitative,5
"If log 27 = 1.431, then the value of log 9 is", 0.754,0.854,0.954,0.654,,,3,quantitative,5
A student has to obtain 33% of the total marks to pass. He got 125 marks and failed by 40 marks. The maximum marks are :,500,600, 800,1000,,,1,quantitative,5
"A mixture contains alcohol and water in the ratio 4 : 3. If 5 liters of water is added to the mixture, the ratio becomes 4: 5. Find the quantity of alcohol in the given mixture.",10, 12,15,18,,,1,quantitative,5
"The greatest number which on dividing 1657 and 2037 leaves remainders 6 and 5 respectively, is:",123, 127,235, 305,,,2,quantitative,5
"if the price of a book is first decreased by 25% and then increased by 20%, then the net change in the price will be  : ",10, 20,30,40,,,1,quantitative,5
"A student multiplied a number by 3/5 instead of 5/3, What is the percentage error in the calculation ?",54%,64%, 74 %, 84 %,,,2,quantitative,5
The average of runs of a cricket player of 10 innings was 32. How many runs must he make in his next innings so as to increase his average of runs by 4 ?,76,79,85,87,,,1,quantitative,5
The average weight of 8 persons increases by 2.5 kg when a new person comes in place of one of them weighing 65 kg. What might be the weight of the new person ?,70 kg,75 kg, 80 kg,85 kg,,,4,quantitative,5
"A shopkeeper cheats to the extent of 10% while buying and selling, by using false weights. His total gain is.", 20%,21%,22%, 23%,,,3,quantitative,5
"Two pipes A and B can fill a tank in 15 minutes and 20 minutes respectively. Both the pipes are opened together but after 4 minutes, pipe A is turned off. What is the total time required to fill the tank?", 10 min. 20 sec.,11 min. 45 sec.,12 min. 30 sec., 14 min. 40 sec.,,,4,quantitative,5
"Out of 7 consonants and 4 vowels, how many words of 3 consonants and 2 vowels can be formed?", 25200, 52000, 120,24400,,,1,quantitative,5
"Gaurav spends 30% of his monthly income on food articles, 40% of the remaining on conveyance and clothes and saves 50% of the remaining. If his monthly salary is Rs. 18,400, how much money does he save every month ?",3864,4903,5849,6789,,,1,quantitative,5
"A man spends 35% of his income on food, 25% on children's education and 80% of the remaining on house rent. What percent of his income he is left with ?",6%,8%,10%, 12 %,,,2,quantitative,5
"What least number must be subtracted from 13601, so that the remainder is divisible by 87 ?", 23,31,29, 37,,,3,quantitative,5
