Question,Option1,Option2,Option3,Option4,Option5,Option6,"Correct Option
(Note:- if correct option is Option1 then insert 1)",Category Name,Marks
"Which of the following statements are correct with respect to instance store and EBS
volume? Please select 2 correct options.","Instance store backed EC2 instances will persist storage across instance
stop, terminate and failures.","EBS backed EC2 instances can persist storage across instance stop,
terminate and failures.","Instance store backed EC2 instance will persist storage only during instance
stop and start.","You cannot add instance store volumes once EC2 instance is launched.
?",All available EC2 instance types support instance store and EBS volumes.,,2&4,AWS cloud Arch Associate,5
"You are working for a data management company which uses AWS platform to manage
the data for various customers. They are using AWS EBS backed EC2 instance with “Delete
EBS volume on termination” checked. EC2 instances are used to run data streaming
application which generates logs and are stored on EBS volumes. The log files are critical
for auditing purposes. How would you protect the data stored on EBS volumes from
accidental terminations of EC2 instances?",Every EBS volume will have a daily EBS snapshot created automatically by AWS,"Setup a Data LifeCycle Manager policy scheduler to create EBS snapshots
for your EBS volumes.","When EC2 instance is terminated, it automatically creates a snapshot of EBS
volume and then deletes the EBS volume.","Write a custom script on your EC2 instance and schedule it to back up the data
onto AWS S3.",,,2,AWS cloud Arch Associate,5
What is the service used by AWS to segregate control over the various AWS services ?,AWS RDS,AWS Integrity Management,AWS Identity and Access Management,Amazon EMR,,,3,AWS cloud Arch Associate,5
Which of the following is not true with respect to EBS volume encryption?,Encrypts data at rest inside the volume.,Encrypts all data moving between the volume and the instance.,Encrypts all snapshots created from the volume.,Encrypted EBS volumes are supported on all instance types,,,4,AWS cloud Arch Associate,5
Which of the following statements is true with respect to encryption?,Enable encryption when creating a snapshot from unencrypted volume,"Enable encryption while copying snapshot from an unencrypted
snapshot.",Disable encryption while creating a snapshot from encrypted volume.,Disable encryption while copying snapshot from an encrypted snapshot.,,,2,AWS cloud Arch Associate,5
"You are working as an architect in your organization. An application team is using EBS
volume for their database workloads which would need a high throughput, low latency
and maximum I/O. They chose Provisioned IOPS EBS volume for better performance.
However, after setting up the entire application, they notice the performance is not up to
the mark. Which performance tuning mechanisms would you suggest? Please choose 3
correct options.",Use EBS-Optimized Instances,"Use Throughput optimized HDD volume types for low latency and
maximum I/O.",Use a Modern Linux Kernel.,Use RAID 0 to Maximize Utilization of Instance Resources.,"Performance of Provisioned IOPS SSD volume increase with volume size.
Increase EBS volume size.",,1&3&4,AWS cloud Arch Associate,5
"You are using AWS EC2 linux instance for log processing which would require high
throughput. You chose Throughput optimized HDD storage with 500 GB in size. You
deployed your application to production mode and it is running as expected. After a
month, you see an increase in log files and you are fast approaching the 500 GB size and
running out of space on the EBS volume. Which of the following is a best approach to
mitigate the situation with minimal configuration?","Add a new EBS volume, mount on EC2 instance and configure your
application accordingly",Increase the size of the existing EBS volume.,"EBS volume size cannot be changed. Build purging logic for your old log
files","You can have only one EBS volume per instance. Snapshot existing EBS
volume, detach current volume, create a new volume from snapshot with
bigger size and attached to EC2 instance.",,,2,AWS cloud Arch Associate,5
"Designing highly available, cost-efficient, fault-tolerant, scalable systems
Which of the following services are automatically integrated with the API gateway service
in the background to ensure better response to calls made to the API Gateway?",AWS Cloudwatch,AWS Cloudfront,AWS Volume gateway,AWS Lambda,,,4,AWS cloud Arch Associate,5
"Designing highly available, cost-efficient, fault-tolerant, scalable systems
There is a requirement in your organization to use the API gateway. But there is a specific
requirement to have separate API’s versions for staging , testing and production
environments. Which feature of the API gateway can be used to fulfil this requirement.",API Domain Name,Swagger extensions,Using AWS Cloudfront,Using Stages,,,4,AWS cloud Arch Associate,5
"Topic : Data Security
Which of the below security features of the API gateway can be used to ensure that API's
resources can receive requests from a domain other than the API's own domain",API Stages,API Deployment,API CORS,API Access,,,3,AWS cloud Arch Associate,5
"Topic : Implementation and Deployment
You have an EC2 Instance located in your AWS VPC. This EC2 Instance hosts an
application that is going to make use of the API Application gateway. Which of the
following features can assist to ensure that the EC2 Instances only accepts request from
the API Gateway.",Use the CORS feature in the API Gateway,Use SSL Certificates,Use Swagger Extensions,Use Stages,,,2,AWS cloud Arch Associate,5
"Topic : Implementation and Deployment
When integrating AWS Lambda or calling an AWS Lambda function from the API
gateway ,which of the following is a must pre-requisite action that must be performed first",Grant access to the IAM role to have the required access with to lambda.,Grant access to the IAM user to have the required access level with Cloudwatch,Grant access to the IAM user to have the required access level with API Gateway,Grant access to the IAM group to have the required access level for API Gateway,,,1,AWS cloud Arch Associate,5
"Topic : Implementation and Deployment
You are currently architecting a solution for your company that will make use of API
gateways. You want to ensure that you design the API gateway in such a way that latency
to requests to the API gateway is reduced. Which of the following things can you ensure is
carried out to fulfil this requirement.",Use AWS API Gateway with Cloudfront,Enable API Caching,Enable API Stages,Enable CORS configuration for the API Gateway,,,2,AWS cloud Arch Associate,5
