Question,Option1,Option2,Option3,Option4,Option5,Option6,"Correct Option
(Note:- if correct option is Option1 then insert 1)",Category Name,Marks
"You are responsible for a web application that consists of an Elastic Load Balancer (ELB) in
front of an Auto Scaling group of Amazon Elastic Compute Cloud (EC2) instances. For a
recent deployment of a new version of the application, a new Amazon Machine Image
(AMI) was created, and the Auto Scaling group was updated with a new launch
configuration that refers to this new AMI. During the deployment, you received complaints
from users that the website was responding with errors. All instances passed the ELB
health checks. What should you do in order to avoid errors for future deployments?
(Choose 2 answers)","Add an Elastic Load Balancing health check to the Auto Scaling group. Set a
short period for the health checks to operate as soon as possible in order to
prevent premature registration of the instance to the load balancer.","Enable EC2 instance CloudWatch alerts to change the launch configuration
AMI to the previous one. Gradually terminate instances that are using the
new AMI.","Set the Elastic Load Balancing health check configuration to target a
part of the application that fully tests application health and returns an
error if the tests fail.","Create a new launch configuration that refers to the new AMI, and
associate it with the group. Double the size of the group, wait for the
new instances to become healthy, and reduce back to the original size.
If new instances do not become healthy, associate the previous launch
configuration.","Increase the Elastic Load Balancing Unhealthy Threshold to a higher value
to prevent an unhealthy instance from going into service behind the load
balancer",,3&4,AWS Archi Professional,5
"You have deployed a web application targeting a global audience across multiple AWS
Regions under the domain name example.com. You decide to use Route53 Latency-Based
Routing to serve web requests to the users from the region closest to them. To provide
business continuity in the event of server downtime you configure weighted record sets
associated with two web servers in separate Availability Zones per region.
During a DR test you notice that when you disable all web servers in one of the regions
Route53 does not automatically direct all users to the other region. What could be
happening? (Choose 2 answers)","Latency resource record sets cannot be used in combination with weighted
resource record sets.","You did not setup an HTTP health check to one or more of the
weighted resource record sets associated with the disabled web
servers.","The value of the weight associated with the latency alias resource record
set in the region with the disabled servers is higher than the weight for the
other region","One of the two working web servers in the other region did not pass its
HTTP health check.","You did not set “Evaluate Target Health” to “Yes” on the latency alias
resource record set associated with example.com in the region where
you disabled the servers",,2&5,AWS Archi Professional,5
"Using an Amazon linux AMI, you have created a m5.large EC2 instance for one of your
research programs. Due to limited budget, you prefer to put the instance into a stopped
state when it is not used. However one requirement is that when the status of instance
becomes running from stopped, the instance does not reboot and you can continue from
where it left off. You want to hibernate the EC2 instance to make this happen. Which
description is correct to implement this hibernation option?","You cannot enable hibernation on an existing instance. You have to
relaunch a new instance from an instance store volume so that the the
hibernation option is supported","You can use AWS console to select the instance, and choose Actions,","You cannot enable hibernation on an existing instance. You have to
launch a new instance with a HVM AMI. Enable the hibernation feature
on the Configure Instance Details page","You can only use AWS CLI to enable the hibernation option via “aws ec2
hibernate-instances --instance-ids i-1234567890abcdef0”. AWS Console is
not supported for the hibernation option",,,3,AWS Archi Professional,5
"You currently operate a web application in the AWS US-East region. The application runs
on an auto-scaled layer of EC2 instances and an RDS Multi-AZ database. Your IT security
compliance officer has tasked you to develop a reliable and durable logging solution to
track changes made to your EC2, IAM and RDS resources. The solution must ensure the
integrity and confidentiality of your log data. Which of the below solutions would you
recommend?","Create a new CloudTrail trail with one new S3 bucket to store the logs
and with the option that applies trail to all regions selected. Use IAM
roles, S3 bucket policies and Multi Factor Authentication (MFA) to
delete on the S3 bucket that stores your logs.","Instance State, Stop - Hibernate","Create a new CloudTrail trail with an existing S3 bucket to store the logs
and with the option that applies trail to all regions selected. Use S3 ACLs
and Multi Factor Authentication (MFA) to delete on the S3 bucket that
stores your logs","Create three new CloudTrail trails with three new S3 buckets to store the
logs one for the AWS Management console, one for AWS SDKs and one for
command line tools. Use IAM roles and S3 bucket policies on the S3
buckets that store your logs",,,1,AWS Archi Professional,5
"Your company has landed a contract to build a search engine of public legal documents.
The dataset is of around 150TB in size and available at customer’s data center in various
formats, part of the dataset is stored in tapes and other is stored in disks. Some of the
dataset is very old, dated to nearly 15 years back, and stored in the compressed format to
save on the disk space. The management has assigned you the task to come up with a
flexible and cost-efficient design to ingest these data and make it available for the frontend
application to efficiently search through. Select two valid options.",Use the Snowball to migrate the data to S3,"Use the AWS Batch to process the data from S3 and send to Kinesis
Firehose and finally save to AWS ElasticSearch",Setup a VPN connection and transfer the data to AWS S3 over the weekend,"Load the data to EFS and create Auto Scaling EC2 instances to read
through the data and save into the AWS RDS for querying","Use the Direct Connect to transfer the data from on-premise servers to the
S3",,1&2,AWS Archi Professional,5
"A company has setup a Direct Connect connection between their on-premise location and
their AWS VPC. They want to setup redundancy in case the Direct Connect connection
fails. What can they do in this regard?
Choose 2 options from the below:",Setup another Direct Connect connection.,Setup an IPSec VPN Connection,Setup S3 connection,Setup a connection via EC2 instances.,,,1&2,AWS Archi Professional,5
"You are designing a photo-sharing mobile app. The application will store all pictures in a
single Amazon S3 bucket. Users will upload pictures from their mobile device directly to
Amazon S3 and will be able to view and download their own pictures directly from
Amazon S3. You want to configure security to handle potentially millions of users in the
most secure manner possible.
What should be done by your server-side application, when a new user registers on the
photo-sharing mobile application?","Create a set of long-term credentials using AWS Security Token Service
with appropriate permissions. Store these credentials in the mobile app
and use them to access Amazon S3.","Record the user’s Information in Amazon RDS and create a role in IAM
with appropriate permissions. When the user uses their mobile app
create temporary credentials using the AWS Security Token Service
‘AssumeRole’ function, store these credentials in the mobile app’s
memory and use them to access Amazon S3. Generate new
credentials the next time the user runs the mobile app.","Record the user’s Information In Amazon DynamoDB. When the user uses
their mobile app create temporary credentials using AWS Security Token
Service with appropriate permissions. Store these credentials in the mobile
app’s memory and use them to access Amazon S3. Generate new
credentials the next time the user runs the mobile app","Create IAM user. Assign appropriate permissions to the IAM user Generate
an access keyand secret key for the IAM user, store them in the mobile app
and use thesecredentials to access Amazon S3.","Create an IAM user. Update the bucket policy with appropriate permissions
for the IAM user. Generate an access Key and secret Key for the IAM user,
store them in the mobile app and use these credentials to access Amazon
S3.",,2,AWS Archi Professional,5
"Your company is storing millions of sensitive transactions across thousands of 100-GB files
that must be encrypted in-transit and at-rest. Analysts concurrently depend on subsets of
files, which can consume up to 5 TB of space, to generate simulations that can be used to
steer business decisions. You are required to design an AWS solution that can cost
effectively accommodate the long-term storage and in-flight subsets of data. Which one
would you choose?","Use Amazon Simple Storage Service (S3) with server-side encryption, and
run simulations on subsets in ephemeral drives on Amazon EC2.","Use Amazon S3 with server-side encryption, and run simulations on
subsets in-memory on Amazon EC2.","Use HDFS on Amazon EMR, and run simulations on subsets in ephemeral
drives on Amazon EC2.","Use HDFS on Amazon Elastic MapReduce (EMR), and run simulations
on subsets in-memory on Amazon Elastic Compute Cloud (EC2).","Store the full data set in encrypted Amazon Elastic Block Store (EBS)
volumes, and regularly capture snapshots that can be cloned to EC2
workstations.",,4,AWS Archi Professional,5
"Your company has built a Therapist Finder service. Since the launch last year, there are
over 150K therapists registered from around the country and the service is growing
rapidly. The management has decided to add a new much-needed feature to showcase
Verified Therapists on their website so that when users search for related therapists the
service can show the verified therapists. Their current database is in DynamoDB. The
management is ready to do some reengineering if the solution can be cost effective as
well. Select two options to accommodate the new feature and also optimize the costing","Stream the DynamoDB data to ElasticSearch using AWS Lambda and
use it for the search",Use the ElasticSearch queries to boost the search result efficiently ,Migrate the DynamoDB data to AWS RDS database and use it for the search,"Use the AWS ElastiCache in front of the DynamoDB to cache the search
results","Use the DynamoDB Accelerator to execute complex queries and save the
read capacity",,2,AWS Archi Professional,5
"As an IT administrator, you have been requested to manage the CloudFormation stacks for
a set of developers in your company. A set of web and database developers will be
working on the application. How would you design the CloudFormation stacks in the best
way possible?","CloudFormation is not the right fit, use OpsWork instead.",Create one stack for the web and database developers.,Create separate stacks for the web and database developers.,"Define separate EC2 instances since defining CloudFormation can get
cumbersome",,,3,AWS Archi Professional,5
