Question,Option1,Option2,Option3,Option4,Option5,Option6,"Correct Option
(Note:- if correct option is Option1 then insert 1)",Category Name,Marks
"An environment safety facility receives thousands of events every 60 seconds from its sensors
assembled in different sectors monitoring air pollution in the region. Scientists want to access and
query the data for observation and daily reporting. Due to current funding state, their budget is limited
and they seek a cost-effective, highly available and ACID-compliant solution supports SQL querying.
Which approach would you recommend for such scenario?","Use BigQuery to store and query the event data. Enable streaming on BigQuery for
data to be loaded in real-time.",Batch-load data into BigTable with launching 10 nodes to allow high performance.,"Use Cloud SQL to load events into a relational database and allow access to
scientists to query.","Use BigQuery to store and query event data. Batch load the data to BigQuery
using its API.",,,4,Google cloud certified professional Data Engineer,5
"You have a dataflow pipeline reads a CSV file daily at 6am, applies the needed cleansing &
transformation on it, then loads it to BigQuery. Occassionally, the CSV file might be modified within the
day due to human error or incomplete data. This causes you to manually re-run dataflow pipeline
again. Is there a way to fix this by automatically re-run the pipeline if file has been modified?","Use Cloud Scheduler to re-run dataflow after 6am. Check what is the average time
the file is modified and schedule based on it.","Use Dataproc to reprocess the file after 6am. You can use Cloud Functions to launch
a Dataproc cluster","Use Cloud Composer to rerun dataflow and reprocess the file. Create a custom
sensor to detect file condition if changed.","Use a compute engine to schedule a cron job to run every 10 minutes to check if the
file was modified to rerun dataflow.",,,3,Google cloud certified professional Data Engineer,5
"A dairy products company is using sensors installed around different areas in its farms to monitor
employees activities and detect any intruders. Apache Kafka cluster is used to gather the events
coming from sensors. Recently, Kafka cluster is becoming a bottleneck causing lag in receiving sensor events. Turns out sensors are sending more frequent events and due to the company expanding with
more farms, more sensors are installed and this will cause extra load on the cluster.
What is the most resilient approach to solve this issue?",Use pub/sub to ingest and stream sensor events.,Scale out Kafka cluster to withstand the continuously flowing event stream.,"Spin up a new Kafka cluster and distribute sensors even streams between the two
clusters.", Build a Dataflow pipeline to ingest the events stream.,,,1,Google cloud certified professional Data Engineer,5
"A social media platform stores various details of their platform users such as session login time, URLs
visited, activities on platform and other logs. With GDPR (General Data Protection Regulation)
compliance to be officially implemented, the platform now allows users to download their activity
logs from their profile settings which they can click a button to call an API to generate a full report.
Recently, users are complaining timeouts after 60 seconds of requesting to download their activity
logs at peak hours when the platform has the most traffic. They have to try for several minutes or even
hours for the API to return their report available for download.
How can you solve this issue?","Increase timeout for API at peak times to 120 seconds. If it keeps failing, try
increasing the timeout until the issue is resolved","Build a Dataflow pipeline to generate daily reports of users’ activity logs. Users can
download those daily reports whenever they want to.",Migrate data source to Cloud Spanner for horizontal scaling to avoid query timeouts.,"Use Pub/sub to pull the requests for activity logs from users. Send a link to
users by their email addresses with a temporary download link for them to
access their report.",,,4,Google cloud certified professional Data Engineer,5
"A company decides to migrate its on-premise data infrastructure to the cloud mainly for high
availability of cloud services and to lower the high costs of storing data on-premise. The infrastructure
uses HDFS to store data and be processed and transformed using Apache Hive & Spark. The company
wants to migrate the infrastructure and DevOps team still wants to administrate the infrastructure in
the cloud. As a data architect, which of the following is the approach recommended by Google?",Use Dataproc to process the data. Store data in Google Storage,"Build a Dataflow pipeline. Store the data in Google Storage. Use Cloud Compute to
launch instances and install the required dependencies for processing the data.",Use Dataproc to process the data. Store data in Dataproc’s HDFS.,"Build a Dataflow pipeline. Store the data in persistent disks in HDFS. Execute the
code in Spark framework provided by Dataflow.",,,1,Google cloud certified professional Data Engineer,5
"Data analysts are switching to use Apache Spark to perform experiments on the data before applying
the changes to production. Those experiments are not critical, but they will be conducted on big data
sets. As a data engineer, the head of data asked you to prepare the tech stack required to be used by
data analysts to run their Spark scripts and experiment on with taking into consideration the cost of
the stack used.
Which of the following tech stack is suggested?","Launch a Dataproc cluster in high-availability mode with using high-memory worker
machine types.","Launch a Dataproc cluster in standard mode with using high-CPU worker machine
types.","Launch a Dataproc cluster in standard mode with using high-memory worker
machine types.",Advice the data analysts to use Dataprep for their data manipulation,,,3,Google cloud certified professional Data Engineer,5
"You have several Data Studio reports reading from BigQuery. Those reports are used to visualize
several metrics for marketing team. Data visualized is updated only once a day. You notice that reports
running queries on BigQuery are not free and they cost for each query. You want to control and
minimize the costs caused by frequent queries coming from Data Studio dashboards.
What should you do?","Enable caching on reports for reading from BigQuery. No need to change the
credentials.",Grant owner credentials for the reports on BigQuery datasets and enable caching.,Configure reports data sources to update data every 24 hours only.,"Export data as CSV files to Google Storage every 24 hours and change reports data
source to read from those files.",,,1,Google cloud certified professional Data Engineer,5
"You are using BigQuery as the data warehouse. Data analysts & scientists run queries to get data from
BigQuery. When you checked the billing costs for the previous month, you noticed a spike in running
queries on BigQuery despite caching is enabled. You tried to find out the reason for the spike by
reading some of the queries data analysts and scientists are running on BigQuery.
Which of the following can be reasons for queries not cached? (Choose 2)",Queries use current_timestamp function.,SELECT queries with asterisk (*).,Queries select from authorized views on archive tables.,Queries use wildcards.,,,1&4,Google cloud certified professional Data Engineer,5
"You are deploying a Tensorflow model built by data science team to the cloud. Based on the
requirements provided by data scientists, the model should be able to return the output as soon as
possible to minimize the latency of serving predictions. Input will be passed as JSON.
Which of the following approaches are best for this scenario?","Use Google Kubernetes Engine to deploy the model. Use online prediction to pass
input data to the model hosted in cloud.","Use Google Kubernetes Engine to deploy the model. Use batch prediction to pass
input data to the model hosted in cloud.","Use Cloud Machine Learning Engine to deploy the model. Use batch prediction to
pass input data to the model hosted in cloud.","Use Cloud Machine Learning Engine to deploy the model. Use online prediction
to pass input data to the model hosted in cloud.",,,4,Google cloud certified professional Data Engineer,5
"You have a massively multiplayer online (MMO) game which sends events from each player every 10
seconds. Events contain stats about the player session’s state (play, idle, off) as well as ping duration.
You want to use Dataflow for windowing. The purpose is to aggregate events and extracting stats to
detect how many players are currently online and what is the average ping duration for each server in
a time window of 30 seconds.
Which windowing function you should choose to design the pipeline?",Fixed-time window.,Sliding-time window,Per-session window,Single global window,,,2,Google cloud certified professional Data Engineer,5
