Question,Option 1,Option2,Option3,Option4,Option5,Option 6,Correct OPtion (note:- if Correct option is Option 1 then insert 1),Category Name ,Marks,
Which of the following storage mechanisms can be used to store messages effectively which can be used across distributed systems. ,Amazon Glacier,Amazon EBS Volumes, Amazon EBS Snapshots, Amazon SQS ,,,4,AWS Cloud practioner ,5,
You are exploring which AWS service will help you in the processing of a large number of data sets.  Pick the correct one form the given list.,EMR,S3,Glacier,"Storage gateway
",,,1,AWS Cloud practioner ,5,
Which one of the following features is normally present in all of AWS Support plans, 24*7 access to Customer Service ,Access to all features in the Trusted Advisor,A technical Account Manager,,,,1,AWS Cloud practioner ,5,
Which of the following options would entice a company to use AWS over an onpremises data center? Choose 2 answers from the options given below,Having access to Free and Unlimited Storage , Having access to Unlimited Physical servers ,Having a highly available infrastructure ,Ability to use resources on demand,,,3 & 4,AWS Cloud practioner ,5,
"You are planning to serve a web application on the AWS Platform by using EC2 Instances. Which of the below principles would you adopt to ensure that even if some of the EC2 Instances crashes , you still have a working application","Using a scalable system
",Using an elastic system, Using a regional system,Using a fault tolerant system ,,,4,AWS Cloud practioner ,5,
What AWS service has built-in DDoS mitigation?,CloudTrai, EC2,CloudFront ,CloudWatch,,,3,AWS Cloud practioner ,5,
You have 2 accounts in your AWS account. One for the Dev and the other for QA. All are part of consolidated billing. The master account has purchased 3 reserved instances. The Dev department is currently using 2 reserved instances. The QA team is planning on using 3 instances of the same instance type. What is the pricing tier of the instances that can be used by the QA Team?,No Reserved and 3 on-demand,One Reserved and 2 on-demand,Two Reserved and 1 on-demand,Three Reserved and no on-demand,,,2,AWS Cloud practioner ,5,
Which of the following are best practices when designing cloud based systems? Choose 2 answers from the options below,Build Tightly-coupled components,Build loosely-coupled components,Assume everything will fail,Use as many services as possible,,,2 &3,AWS Cloud practioner ,5,
Which of the following AWS services can assist you with cost optimization?, AWS Shield, AWS Inspector, AWS WAF,AWS Trusted Advisor ,,,4,AWS Cloud practioner ,5,
Which of the following is the amount of storage that can be stored in the Simple Storage service?,1 TB,5 TB, 1 PB, Virtually unlimited storage ,,,4,AWS Cloud practioner ,5,
Which services allow the customer to retain full administrative privileges of the underlying virtual infrastructure? , Amazon EC2 ,Amazon S3, Amazon Lambda,Amazon DynamoDB,,,1,AWS Cloud practioner ,5,
Which of the following AWS services should you use to migrate an existing database to AWS?,AWS Lambda,AWS Storage gateway, AWS DMS , AWS Snowball,,,3,AWS Cloud practioner ,5,
"You have a mission-critical application which must be globally available at all times. If this is the case, which of the below deployment mechanisms would you employ", Deployment to multiple edge locations,Deployment to multiple Availability Zones, Deployment to multiple Data Centers,Deployment to multiple Regions ,,,4,AWS Cloud practioner ,5,
Which of the following can be used to protect against Ddos attacks. Choose 2 answers from the options given below,AWS EC2 ,AWS ELB , AWS Shield , AWS Shield Advanced ,,,3 & 4,AWS Cloud practioner ,5,
Which of the following is a serverless compute offering from AWS,AWS EC2,AWS Lambda , AWS SNS, AWS SQS,,,2,AWS Cloud practioner ,5,
