Question,Option 1,Option2,Option3,Option4,Option5,Option 6,Correct Option (note:- if Correct option is Option 1 then insert 1),Category Name,Marks
"If you are connecting to AWS from a computer and not an EC2 instance, you need to 
create an AWS user, attach permissions, generate access keys and store the API access 
keys in the AWS credentials file. Choose the correct answer from the options below.",TRUE,FALSE,,,,,1,Developer,5
"You decide to configure a bucket for static website hosting. As per the AWS 
documentation, you create a bucket named 'mybucket.com' and then you enable website 
hosting with an index document of 'index.html' and you leave the error document as blank. 
You then upload a file named 'index.html' to the bucket. After clicking on the endpoint of 
mybucket.com.s3-website-us-east-1.amazonAWS.com you receive 403 Forbidden error. 
You then change the CORS configuration on the bucket so that everyone has access, 
however you still receive the 403 Forbidden error. What additional step do you need to do 
so that the endpoint is accessible to everyone? Choose the correct answer from the 
options below",Register mybucket.com on Route53,Wait for the DNS change to propagate,"You need to add a name for the error document, because it is a required field","Change the permissions on the index.html file also, so that everyone has 
access. ",,,4,Developer,5
"In regards to their data consistency model, AWS states that ""Amazon S3 buckets in all 
Regions provide read-after-write consistency for PUTS of new objects and eventual 
consistency for overwrite PUTS and DELETES."" What does AWS actually mean when they 
say Read-after-write consistency for PUTS of new objects? Choose the correct answer 
from the options below","If you write a new key to S3, you will be able to retrieve any object 
immediately afterwards. Also, any newly created object or file will be visible 
immediately, without any delay","If you write a new key to S3, a subsequent read might return the old data or the 
updated data. Your applications should be built with this uncertainty in mind","If you write a new key to S3, it may write corrupted or partial data.","You cannot write a new key to S3 unless there has been a read done prior to the 
write",,,1,Developer,5
"You decide to create a bucket on AWS S3 called 'bucketever' and then perform the 
following actions in the order that they are listed here.
- You upload a file to the bucket called 'file1'
- You enable versioning on the bucket
- You upload a file called 'file2'
- You upload a file called 'file3'
- You upload another file called 'file2'
Which of the following is true for your bucket 'bucketever'?","There will be 1 version ID for file1, there will be 2 version IDs for file2 and 1 version 
ID for file3","The version ID for file1 will be null, there will be 2 version IDs for file2 and 1 
version ID for file3","There will be 1 version ID for file1, the version ID for file2 will be null and there will 
be 1 version ID for file3","All file version ID's will be null because versioning must be enabled before 
uploading objects to 'bucketever'",,,2,Developer,5
"One of your requirements is to setup an S3 bucket to store your files like documents and 
images. However, those objects should not be directly accessible via the S3 URL, they 
should ONLY be accessible from pages on your website so that only your paying 
customers can see them. How could you implement this? Choose the correct answer from 
the options below",Use HTTPS endpoints to encrypt your data,"You can use a bucket policy and check for the AWS:Referer key in a condition, where that key matches your domain",You can't. The S3 URL must be public in order to use it on your website.,"You can use server-side and client-side encryption, where only your application 
can decrypt the objects",,,2,Developer,5
"Your application is trying to upload a 6 GB file to Simple Storage Service and receive a ""Your proposed upload exceeds the maximum allowed object size."" error message. What 
is a possible solution for this? Choose the correct answer from the options below","None, Simple Storage Service objects are limited to 5 GB",Use the multipart upload API for this object,Use the large object upload API for this object,Contact support to increase your object size limit,,,2,Developer,5
"While working with the AWS S3 API you receive the following error message: 409 Conflict. 
What might be the cause of this error?",BadDigest,User does not have proper permissions to make the API call,Bucket already exists,Bucket name does not exist,,,3,Developer,5
"If you're executing .Net code against AWS on an EC2 instance that is assigned an IAM role, 
which of the following is a true statement? Choose the correct answer from the options 
below",The code will assume the same permissions as the IAM role,The code must have AWS access keys in order to execute,Only .Net code can assume IAM roles,None of the above,,,1,Developer,5
"Which API call occurs in the final process of creating an Instance Store AMI? Choose the 
correct answer from the options below",ami-create-image,CreateImage,RegisterImage,ami-register-image,,,3,Developer,5
"Which API call would best be used to describe an Amazon Machine Image? Choose the 
correct answer from the options below",DescribeImage,DescribeImages,ami-describe-image,ami-describe-images,,,2,Developer,5
