Question,Option1,Option2,Option3,Option4,Option5,Option6,"Correct Option
(Note:- if correct option is Option1 then insert 1)",Category Name,Marks
"You currently operate a web application in the AWS US-East region. The application runs
on an auto-scaled layer of EC2 instances and an RDS Multi-AZ database. Your IT security
compliance officer has tasked you to develop a reliable and durable logging solution to
track changes made to your EC2, IAM and RDS resources. The solution must ensure the
integrity and confidentiality of your log data. Which of the below solutions would you
recommend?","Create a new CloudTrail trail with one new S3 bucket to store the logs
and with the option that applies trail to all regions selected. Use IAM
roles, S3 bucket policies and Multi Factor Authentication (MFA) to
delete on the S3 bucket that stores your logs.","Create a new CloudTrail with one new S3 bucket to store the logs.
Configure SNS to send log file delivery notifications to your management
system. Use IAM roles and S3 bucket policies on the S3 bucket that stores
your logs.","Create a new CloudTrail trail with an existing S3 bucket to store the logs
and with the option that applies trail to all regions selected. Use S3 ACLs
and Multi Factor Authentication (MFA) to delete on the S3 bucket that
stores your logs","Create three new CloudTrail trails with three new S3 buckets to store the
logs one for the AWS Management console, one for AWS SDKs and one for
command line tools. Use IAM roles and S3 bucket policies on the S3",,,3,Professional,5
"An enterprise wants to use a 3rd party SaaS application hosted by another AWS account.
The SaaS application needs to have access to issue several API commands to discover
Amazon EC2 resources running within the enterprise’s account. The enterprise has internal
security policies that require any outside access to their environment must conform to the
principles of least privilege and there must be controls in place to ensure that the
credentials used by the SaaS vendor cannot be used by any other third party.
Which of the following options would meet all of these conditions?","From the AWS Management Console, navigate to the Security Credentials
page and retrieve the access and secret key for your account","Create an IAM user within the enterprise account assign a user policy to the
IAM user that allows only the actions required by the SaaS application.
Create a new access and secret key for the user and provide these
credentials to the SaaS provider.","Create an IAM role for cross-account access that allows the SaaS
provider’s account to assume the role and assign it a policy that
allows only the actions required by the SaaS application.","Create an IAM role for EC2 instances, assign it a policy which allows only
the actions required for the Saas application to work, provide the role
ARN to the SaaS provider, to be used when launching their application
instances.",,,3,Professional,5
"An AWS customer is deploying an application that is composed of an auto scaling group
of EC2 Instances. The customer's security policy requires that every outbound connection
from these instances to any other service within the customers Virtual Private Cloud must
be authenticated using a unique X.509 certificate that contains the specific instance ID. In
addition, an X.509 certificate must be designed by the AWS Key Management Service
(KMS) in order to be trusted for authentication.
Which of the following configurations will support these requirements?","Configure an IAM Role that grants access to an Amazon S3 object
containing a signed certificate and configure an Auto Scaling group to
launch instances with this role. Have the instances bootstrap, get the
certificate from Amazon S3 upon first boot.","Embed a certificate into the Amazon Machine Image that is used by the
Auto Scaling group Have the launched instances, generate a certificate
signature request with the instance’s assigned instance-id to the AWS KMS
for signature","Configure the AutoScaling group to send an SNS notification of the
launch of a new instance to the AWS Certificate Manager. Create a
signed certificate using AWS Certificate Manager (ACM).","Configure the launched instances to generate a new certificate upon first
boot. Have the AWS KMS poll the Auto Scaling group for associated
instances and send new instances a certificate signature (that contains the
specific instance-id).",,,3,Professional,5
"Your company is hosting a web application on AWS. According to the architectural best
practices, the application must be highly available, scalable, cost effective, with highperformance
and should require minimal human intervention. You have deployed the web
servers and database servers in public and private subnet of the VPC respectively. While
testing the application via web browser, you noticed that the application is not accessible.
Which of the following two configuration settings can help you to tackle this issue?
Choose any two options where each one will provide an independent solution to tackle
the issue.","Configure a NAT instance in your VPC and create a default route via the
NAT instance and associate it with all subnets. Configure a DNS A record
that points to the NAT instance public IP address.","Configure a CloudFront distribution and configure the origin to point to the
private IP addresses of your Web servers. Configure a Route53 CNAME
record to your CloudFront distribution","Place all your web servers behind ELB. Configure a Route53 ALIASRecord
to point to the ELB DNS name.","Assign EIP's to all web servers. Configure a Route53 A-Record set with
all EIPs with health checks and DNS failover.","Configure ELB with an EIP. Place all your Web servers behind ELB.
Configure a Route53 A record that points to the EIP.",,3 & 4,Professional,5
"You have developed an application that processes massive amount of process logs
generated by web site and mobile app. This application requires the ability to analyze
petabytes of unstructured data using Amazon Elastic MapReduce. The resultant data is
stored on Amazon S3. You have deployed c4.8xlarge Instance type, whose CPUs are
mostly idle during the data processing. Which of the below options would be the most
cost-efficient way to reduce the runtime of the log processing job?","Create log files with smaller size and store them on Amazon S3. Apply the
life cycle policy to the S3 bucket such that the files would be first moved to
RRS and then to Amazon Glacier vaults.","Add additional c4.8xlarge instances by introducing a task instance group.
The network performance of 10 Gigabit per EC2 instance would increase
the processing speed; thus reducing the load on the EMR cluster",Use smaller instances that have higher aggregate I/O performance,"Create fewer, larger log files. Compress and store them on Amazon S3
bucket. Apply the life cycle policy to the S3 bucket such that the files
would be first moved to RRS and then to Amazon Glacier vaults",,,4,Professional,5
"Your department creates regular analytics reports from your company’s log files. All log
data is collected in Amazon S3 and processed by daily Amazon Elastic MapReduce (EMR)
jobs that generate daily PDF reports and aggregated tables in CSV format for an Amazon
Redshift data warehouse. You notice that the average EMR hourly usage is more than 25%
but less than 50%.
Your CFO requests you to optimize the cost structure for this system. Which of the
following alternatives will lower costs without compromising the average performance of
the system or data integrity for the raw data?","Use Glacier to store PDF and CSV Data. Add Spot instances to Amazon
EMR jobs. Use Reserved instances for Amazon Redshift.","Use standard S3 to store PDF. Use a combination of spot instances
and reserved instances for EMR and reserved instances for RedShift.","Use Glacier to store PDF and CSV Data. Add Spot instances to Amazon
EMR jobs. Use Spot instances for Amazon Redshift.","Use S3-IA to store PDF and CSV Data. Use Reserved instances to Amazon
EMR jobs. Use Reserved instances for Amazon Redshift.",,,2,Professional,5
"You are the new IT architect in a company that operates a mobile sleep tracking
application. When activated at night, the mobile app is sending collected data points of 1
KB every 5 minutes to your middleware. The middleware layer takes care of
authenticating the user and writing the data points into an Amazon DynamoDB table.
Every morning, you scan the table to extract and aggregate last night’s data on a per-user
basis, and store the results in Amazon S3. Users are notified via Amazon SMS mobile pushnotifications that new data is available, which is parsed and visualized by the mobile app.
Currently, you have around 100k users. You have been tasked to optimize the architecture
of the middleware system to lower the cost. What would you recommend?
Choose 2 options from below:","Create a new Amazon DynamoDB table each day and drop the one for
the previous day after its data is on Amazon S3.","Have the mobile app access Amazon DynamoDB directly instead of JSON
files stored on Amazon S3.","Introduce an Amazon SQS queue to buffer writes to the Amazon
DynamoDB table and reduce provisioned write throughput","Introduce Amazon Elasticache to cache reads from the Amazon
DynamoDB table and reduce provisioned read throughput.","Write data directly into an Amazon Redshift cluster replacing both Amazon
DynamoDB and Amazon S3.",,1 & 3,Professional,5
"Your website is serving on-demand training videos to your workforce. Videos are
uploaded monthly in high-resolution MP4 format. Your workforce is distributed globally
often on the move and using company-provided tablets that require the HTTP Live
Streaming (HLS) protocol to watch a video. Your company has no video transcoding
expertise and it required you may need to pay for a consultant. How would you implement
the most cost-efficient architecture without compromising high availability and quality of
video delivery?","Elastic Transcoder to transcode original high-resolution MP4 videos to
HLS. Use S3 to host videos. Use CloudFront to serve HLS transcoded
videos from S3.","A video transcoding pipeline running on EC2 using SQS to distribute tasks
and Auto Scaling to adjust the number of nodes depending on the length
of the queue. Use S3 to host videos with Lifecycle Management to archive
all files to Glacier after a few days. Use CloudFront to serve HLS
transcoding videos from Glacier.","Elastic Transcoder to transcode original high-resolution MP4 videos to HLS
EBS volumes to host videos and EBS snapshots to incrementally backup
original rues after a few days. CloudFront to serve HLS transcoded videos
from EC2.","A video transcoding pipeline running on EC2 using SQS to distribute tasks
and Auto Scaling to adjust the number of nodes depending on the length
of the queue EBS volumes to host videos and EBS snapshots to
incrementally backup original files after a few days CloudFront to serve
HLS transcoded videos from EC2.",,,1,Professional,5
"You’ve been hired to enhance the overall security posture for a very large e-commerce
site. They have a well architected multi-tier application running in a VPC that uses ELBs in
front of both the web and the app tier with static assets served directly from S3. They are
using a combination of RDS and DynamoDB for their dynamic data and then archiving
nightly into S3 for further processing with EMR. They are concerned because they found
questionable log entries and a flood of superfluous requests for accessing the resources.
You suspect that someone is attempting to gain unauthorized access. Which approach
provides a cost-effective scalable mitigation to this kind of attack?","Recommend that they lease space at a DirectConnect partner location and
establish a 1G DirectConnect connection to their VPC. Then they would
establish Internet connectivity into their space, filter the traffic in hardware
Web Application Firewall (WAF) and then pass the traffic through the
DirectConnect connection into their application running in their VPC.","Add previously identified host file source IPs as an explicit INBOUND DENY
NACL to the web tier subnet","Add a WAF tier by creating a new ELB and an AutoScaling group of
EC2 Instances running a host-based WAF. They would redirect Route
53 to resolve to the new WAF tier ELB. The WAF tier would pass the
traffic to the current web tier. The web tier Security Groups would be
updated to only allow traffic from the WAF tier Security Group","Remove all but TLS 1 & 2 from the web tier ELB and enable Advanced
Protocol Filtering. This will enable the ELB itself to perform WAF
functionality.",,,3,Professional,5
"You currently operate a web application in the AWS US-East region. The application runs
on an auto-scaled layer of EC2 instances and an RDS Multi-AZ database. Your IT security
compliance officer has tasked you to develop a reliable and durable logging solution to
track changes made to your EC2, IAM and RDS resources. The solution must ensure the
integrity and confidentiality of your log data. Which of the below solutions would you
recommend?","Create a new CloudTrail trail with one new S3 bucket to store the logs
and with the option that applies trail to all regions selected. Use IAM
roles, S3 bucket policies and Multi Factor Authentication (MFA) to
delete on the S3 bucket that stores your logs.","Create a new CloudTrail with one new S3 bucket to store the logs.
Configure SNS to send log file delivery notifications to your management
system. Use IAM roles and S3 bucket policies on the S3 bucket that stores
your logs.","Create a new CloudTrail trail with an existing S3 bucket to store the logs
and with the option that applies trail to all regions selected. Use S3 ACLs
and Multi Factor Authentication (MFA) to delete on the S3 bucket that
stores your logs","Create three new CloudTrail trails with three new S3 buckets to store the
logs one for the AWS Management console, one for AWS SDKs and one for
command line tools. Use IAM roles and S3 bucket policies on the S3
buckets that store your logs.",,,1,Professional,5
