Sr no,Question,Option1,Option2,Option3,Option4,Option5,Option6,Correct OPtion (note:- if Correct option is Option 1 then insert 1),Category Name,Marks
2,Which of the following statements are false with regards to placement groups?,You can merge placement groups,A placement group can span peered VPC’s,A cluster placement group can't span multiple Availability Zones.,You can move an existing instance into a placement group,,,2, AWS certified Advance Networking  speclity,5
3,"Which of the following are advantages to use multiple IP addresses on an EC2 Instance in AWS?
Choose three answers",Host multiple websites on a single server by using multiple SSL certificate,To support multiple network interfaces,To failover to a standby instance,To ensure broadcasting is possible on the subnet,,,1&2&3, AWS certified Advance Networking  speclity,5
4,"You currently manage a set of web servers hosted on EC2 Servers with public IP addresses. These IP
addresses are mapped to domain names. There was an urgent maintenance activity that had to be
carried out on the servers and the servers had to be restarted. Now the web application hosted on
these EC2 Instances is not accessible via the domain names configured earlier. Which of the following
could be a reason for this.",The Route53 hosted zone needs to be restarted,The network interfaces need to initialized again.,The public IP addresses need to associated to the ENI again.,"The public IP addresses have changed after the instance was stopped and
started",,,4, AWS certified Advance Networking  speclity,5
5,"Your company currently has a Link Aggregation Group to AWS with two 1Gbps connections. What is
the best way to increase throughput on this Link Aggregation Group?",Add one 10Gbps connections to the Link Aggregation Group,Add two 10Gbps connections to the Link Aggregation Group,Add two 1Gbps connections to the Link Aggregation Group,Add three 1Gbps connections to the Link Aggregation Group,,,3, AWS certified Advance Networking  speclity,5
6,Which of the following protocols are used for dynamically routed VPN Connections,TCP,UDP,ICMP,BGP,,,4, AWS certified Advance Networking  speclity,5
7,"Your company currently has a 100 Mbps line and needs to have a Direct Connect connection in place.
How can the company achieve this?",This is not possible with a 100 Mbps line.,This is possible only if you upgrade to a 200 Mbps line,This is possible only if you upgrade to a 500 Mbps line,You can contact an AWS Partner for this requirement,,,4, AWS certified Advance Networking  speclity,5
8,"There are 2 company’s that have their own AWS accounts. How can they connect to a central VPC for
identity validation? How would you best design this solution? Choose an answer from the options","Migrate each VPC resources to the central VPC using migration tools such as
Import/Export, Snapshot, AMI Copy, and S3 sharing",Create a VPC peering connection with the central VPC.,Create a Direct Connect connection from each VPC endpoint to the central VPC.,"Create an OpenVPN instance in central VPC and establish an IPSec tunnel between
VPCs.",,,2, AWS certified Advance Networking  speclity,5
9,"You have 2 VPN connections established between AWS and your on-premise location. You need to
ensure that one VPN is preferred over the other.
Which of the following configurations can allow you to do this?",Use more specific routes,Use less specific routes,Use AS-path prepending,Use BGP priority,,,1, AWS certified Advance Networking  speclity,5
10,"When you create a subnet, you specify the CIDR block for the subnet. The CIDR block of a subnet can
be the same as the CIDR block for the VPC (for a single subnet in the VPC), or a subset (to enable
multiple subnets). The allowed block size is between a /28 netmask and /16 netmask. You decide to
you create a VPC with CIDR block 10.0.0.0/24. Therefore what is the maximum allowed number of IP
addresses and the minimum allowed number of IP addresses according to AWS and what is the
number of IP addresses supported by the VPC you created? Choose the correct answer from the
options below",Maximum is 28 and the minimum is 16 and the one created supports 24 IP addresses,"Maximum is 256 and the minimum is 16 and the one created supports 24 IP
addresses","Maximum is 65,536 and the minimum is 24 and the one created supports 28 IP
addresses","Maximum is 65,536 and the minimum is 16 and the one created supports 256 IP
addresses",,,4, AWS certified Advance Networking  speclity,5
11,"Your website utilizes EC2, S3, ELB-Classic, and CloudFront. How can you implement the right security
measures for this configuration? Choose 2 answers from the options given below",An NACL that blocks all ports to your subnets,A restricted bucket policy on S3,A WAF on your CloudFront distribution.,A WAF on the load balancer.,,,2&3, AWS certified Advance Networking  speclity,5
12,"You have a static VPN connecting your data center and your VPC. You currently have 50 routes added
to your route table. There is a requirement to add more routes. What should be done in this case.
Choose 2 answers from the options given below",Increase the limit on the route table,Delete static VPN and create a dynamic VPN,Use BGP for routing,Add the route to the route table,,,2&3, AWS certified Advance Networking  speclity,5
