Sr no.,Question,Option1,Option2,Option3,Option4,Option5,"Correct Option
(Note:- if correct option is Option1 then insert 1)",Category Name,Marks
1,"For this question, refer to the Dress4Win case study.
You want to ensure Dress4Win’s sales and tax records remain available for infrequent viewing by
auditors for at least 10 years. Cost optimization is your top priority. Which cloud services should you
choose?","Google Bigtable with US or EU as location to store the data, and gcloud to access
the data.","BigQuery to store the data, and a web server cluster in a managed instance group to
access the data. Google Cloud SQL mirrored across two distinct regions to store the
data, and a Redis cluster in a managed instance group to access the data.","Google Cloud Storage Nearline to store the data, and gsutil to access the data.","Google Cloud Storage Coldline to store the data, and gsutil to access the data.",,4,Google cloud Certified Professional cloud Architech,5
2,"You have been asked to select the storage system for the click-data of your company's large portfolio
of websites. This data is streamed in from a custom website analytics package at a typical rate of
6,000 clicks per minute, with bursts of up to 8,500 clicks per second. It must be stored for future
analysis by your data science and user experience teams.
Which storage infrastructure should you choose?",Google cloud Datastore,Google Cloud SQL,Google Cloud Bigtable,Google Cloud Storage,,3,Google cloud Certified Professional cloud Architech,5
3,"Over time, you've created 5 snapshots of a single instance. To save space, you delete snapshots
number 3 and 4. What has happened to the fifth snapshot?","The data from both snapshots 3 and 4 necessary for continuance are
transferred to snapshot 5.",It is no longer useable and cannot restore data.,"All later snapshots, including 5, are automatically deleted as well.","The data from snapshot 4 necessary for continuance was transferred to snapshot 5,
however snapshot 3's contents were transferred to snapshot 2.",,1,Google cloud Certified Professional cloud Architech,5
4,"One of your clients is using customer –managed encryption, which of the following statements are
true when you are applying customer-managed encryption key to an object.[Select any 3]",the encryption key is used to encrypt the object's data,the encryption key is used to encrypt the object’s CRC32C checksum,the encryption key is used to encrypt the object's name,the encryption key is used to encrypt the object's MD5 hash,,1&2&4,Google cloud Certified Professional cloud Architech,5
5,"Your company just finished a rapid lift and shift to Google Compute Engine for your compute needs.
You have another 9 months to design and deploy a more cloud-native solution. The business team is
looking for services with lesser responsibility and easy manageability. Please select the order of
services with lesser responsibility to more responsibility","Google Container Engine with containers > Google App Engine Standard
Environment >Cloud Functions >Compute Engine with containers >Compute Engine","Cloud Functions >Google App Engine Standard Environment>Google Container
Engine with containers >Compute Engine with containers > Compute Engine","Cloud Functions >Google Container Engine with containers >Google App Engine
Standard Environment >Compute Engine >Compute Engine with containers","Google App Engine Standard Environment > Cloud Functions>Compute Engine with
containers>Google Container Engine with containers>Compute Engine",,2,Google cloud Certified Professional cloud Architech,5
6,"You need to regularly create disk level backups of the root disk of a critical instance. These backups
need to be able to be converted into new instances that can be used in different projects. How should
you do this? Select 2 possible way to accomplish this","Create snapshots, turn the snapshot into a custom image, and share the image
across projects.",Use the VM migration tools in Compute Engine to copy a VM to a different project.,Create snapshots and share them to other projects.,"Stream your VM's data into Cloud Storage and share the exported data in the storage
bucket with another project.",,1&3,Google cloud Certified Professional cloud Architech,5
7,"Your company has decided to build a backup replica of their on- premises user authentication
PostgreSQL database on Google Cloud Platform. The database is 4 TB, and large updates are
frequent. Replication requires RFC1918 private address space. Which networking approach would be
the best choice?","Create two VPN tunnels within the same Cloud VPN gateway to the same
destination VPN gateway",Direct Peering,Google Cloud Dedicated Interconnect or Google Cloud Partner Interconnect,Google Cloud VPN connected to the data center network.,,3,Google cloud Certified Professional cloud Architech,5
8,"You are using DataFlow to ingest a large amount of data and later you send the data to Bigquery for
Analysis, but you realize the data is dirty, what would be the best choice to use to clean the data?","Fetch data from Bigquery and clean data from DataPrep and send it back to
Bigquery","Fetch the data from Bigquery and create one more pipeline, clean data from
DataFlow and send it back to Bigquery","Fetch the data from Bigquery and clean data from DataProc and send it back to
Bigquery",Send the data to Data Storage and use BigTable to clean the data .,,2,Google cloud Certified Professional cloud Architech,5
9,"You need to allow traffic from specific virtual machines in 'subnet-a' network access to machines in
'subnet-b' without giving the entirety of subnet-a access. How can you accomplish this?","Create a firewall rule to allow traffic from resources with specific network tags,
then assign the machines in subnet-a the same tags.","Relocate the subnet-a machines to a different subnet and give the new subnet the
needed access.","Create a rule to deny all traffic to the entire subnet, then create a second rule with
higher priority giving access to tagged VM's in subnet-a",You can only grant firewall access to an entire subnet and not individual VM's inside.,,1,Google cloud Certified Professional cloud Architech,5
10,"You are creating a single preemptible VM instance named “preempt” to be used as scratch space for a
single workload. If your VM is preempted, you need to ensure that disk contents can be re-used.
Which gcloud command would you use to create this instance?","gcloud compute instances create ""preempt"" --preemptible --no-boot-diskauto-
delete","gcloud compute instances create ""preempt"" --preemptible --boot-disk-autodelete=
no","gcloud compute instances create ""preempt"" --preemptible","gcloud compute instances create ""preempt"" --no-auto-delete",,1,Google cloud Certified Professional cloud Architech,5
11,"Which of the following are the best practices recommended by Google Cloud when dealing with
service Accounts. Select 3 relevant options",Grant the service account full set of permissions,"Do not delete service accounts that are in use by running instances on Google
App Engine or Google Compute Engine",Grant serviceAccountUser role to all the users in the organization,"Use the display name of a service account to keep track of the service
accounts. When you create a service account, populate its display name with
the purpose of the service account","Create service accounts for each service with only the permissions required for
that service.",2&4&5,Google cloud Certified Professional cloud Architech,5
12,"You are working on a project with two compliance requirements. The first requirement states that your
developers should be able to see the Google Cloud Platform billing charges for only their own
projects. The second requirement states that your finance team members can set budgets and view
the current charges for all projects in the organization. The finance team should not be able to view
the project contents. You want to set permissions. What should you do?","Add the finance team members to the default IAM Owner role. Add the developers
to a custom role that allows them to see their own spend only.","Add the finance team members to the Billing Administrator role for each of the
billing accounts that they need to manage. Add the developers to the Viewer
role for the Project.",Add the developers and finance managers to the Viewer role for the Project,"Add the finance team to the Viewer role for the Project. Add the developers to the
Security Reviewer role for each of the billing accounts.",,2,Google cloud Certified Professional cloud Architech,5
13,"Your company is using Bigquery for data analysis, many users have access to this service and the data
set, you would want to know which user has run what query, what would be the best way to get the
required information?","Go to job history, it has information about which user has run what query",Query the Stackdriver logs,Check the Audit logs for the user ID.,Go to Query history it has information about which user has run what query.,,4,Google cloud Certified Professional cloud Architech,5
14,"You are managing the GCP Account of a client, the client raises a request to attach 9 local SSDs and
launch a VM instance in us-east1 Region, as a Cloud Architect what would be your response to the
above request?",You can always attach maximum of ten local SSD devices to a VM instance,"If a resource is not available, you won’t be able to create new resources of that
type, even if you still have remaining quota in your region or project and you
can attach up to eight local SSD devices for 3 TB of total local SSD storage
space per instance","Launch the instance first and add the local SSD drives later for optimal
performance.",Request changes to quota from the Quotas page in the GCP Console,,2,Google cloud Certified Professional cloud Architech,5
15,"A digital Media company has recently moved its infrastructure from On-premise to Google Cloud, they
have several instances under a Global HTTPS load balancer, a few days ago the Application and
Infrastructure were subjected to DDOS attacks, they are looking for a service that would provide a
defense mechanism against the DDOS attacks. Please select the relevant service.",Cloud Armor,Cloud-Identity Aware Proxy,GCP Firewalls,IAM policies,,1,Google cloud Certified Professional cloud Architech,5
16,"Using principal of least privilege and allowing for maximum automation, what steps can you take to
store audit logs for long-term access and to allow access for external auditors to view? (Choose two)","Generate a signed URL to the Stackdriver export destination for auditors to
access",Create an account for auditors to have view access to Stackdriver Logging.,Export audit logs to Cloud Storage via an export sink,Export audit logs to BigQuery via an export sink.,,1&3,Google cloud Certified Professional cloud Architech,5
17,"One of the customer needs to store time series data in Google Cloud Platform. They have found Big
Table to be a natural fit for time series data . Choose the best practise suggested by Google Cloud for
schema design patterns for storing time series in Cloud Bigtable.","For row key design pattern ,use tall and narrow tables","For row key Always for a row key for a time series includes a timestamp, make sure
all your writes will target a single node; fill that node; and then move onto the next
node in the cluster","Prefer reverse timestamps only where your most common query is for the latest
values","For patterns for column design , in general ,keep row sizes below
approximately 100 MB",Design your row key with your queries in mind .,1&3&4&5,Google cloud Certified Professional cloud Architech,5
18,"To reduce costs, the Director of Engineering has required all developers to move their development
infrastructure resources from on-premises virtual machines (VMs) to Google Cloud Platform. These
resources go through multiple start/stop events during the day and require state to persist. You have
been asked to design the process of running a development environment in Google Cloud while
providing cost visibility to the finance department. Which two steps should you take? Choose 2
answers","Store all state in Google Cloud Storage, snapshot the persistent disks, and terminate
the VM.",Use the --no-auto-delete flag on all persistent disks and stop the VM.,Apply VM CPU utilization label and include it in the BigQuery billing export,Use Google BigQuery billing export and labels to associate cost to groups.,Use the -auto-delete flag on all persistent disks and terminate the VM.,2&4,Google cloud Certified Professional cloud Architech,5
19,"For this question, refer to the MountKirk Games case study:
MountKirk Games needs to build out their streaming data analytics pipeline to feed from their game
backend application. What GCP services in which order will achieve this?",Cloud Storage - Cloud Dataflow - BigQuery,Cloud Dataproc - Cloud Storage - BigQuery,Cloud Pub/Sub - Cloud Dataflow - Cloud Bigtable,Cloud Pub/Sub - Cloud Dataflow - BigQuery,,4,Google cloud Certified Professional cloud Architech,5
20,"A Global Media company is configuring a Global load balancer for non-http(s) traffic, they are looking
for a service with SSL offloading, as a Cloud Architect what would be your load balancing choice?",HTTPS load balancing,SSL proxy Load balancing,TCP proxy Load balancing for all non-http(s) traffic,Network TCP/UDP load balancing,,2,Google cloud Certified Professional cloud Architech,5
21,"You created an update for your application on App Engine. You want to deploy the update without
impacting your users. You want to be able to roll back as quickly as possible if it fails. What should you
do?","Delete the current version of your application. Deploy the update using the same
version identifier as the deleted version.","Notify your users of an upcoming maintenance window. Deploy the update in that
maintenance window",Deploy the update as the same version that is currently running,"Deploy the update as a new version. Migrate traffic from the current version to
the new version.",,4,Google cloud Certified Professional cloud Architech,5
22,"You are designing a large distributed application with 30 microservices. Each of your distributed
microservices needs to connect to a database back-end. You want to store the credentials securely.
Where should you store the credentials?",In a secret management system,In the source code,In an environment variable,In a config file that has restricted access through ACLs,,1,Google cloud Certified Professional cloud Architech,5
23,"For this question, refer to the TerramEarth case study:
Based on TerramEarth's current data flow environment (refer to the image in the case study), what are
the direct GCP services needed to replicate the same structure for batch uploads?",Cloud Spanner - Cloud SQL - BigQuery,Cloud Dataflow - Cloud Bigtable - Cloud Dataproc,Cloud Dataproc - Cloud Storage - BigQuery,Cloud Storage - Cloud Dataflow - BigQuery,,4,Google cloud Certified Professional cloud Architech,5
24,"One of the large data Analysis company uses Big Query, Big Table, Data Proc and Cloud Storage
services. They use a Hybrid Architecture involving on premise and Google Cloud, Cloud VPN is used
to connect to Google Cloud Platform. One of the main challenges for the Organization is mitigating
Data exfiltration risks stemming from stolen identities, IAM policy misconfigurations, malicious insiders
and compromised virtual machines. What Google Cloud Service can they use to address the
challenge?",Shared VPC,Cloud Armour,VPC Service Controls,Resource Manager,,3,Google cloud Certified Professional cloud Architech,5
25,"You have a definition for an instance template that contains a web application. You are asked to
deploy the application so that it can scale based on the HTTP traffic it receives. What should you do?","Create a VM from the instance template. Create a custom image from the VM’s disk.
Export the image to Cloud Storage. Create an HTTP load balancer and add the
Cloud Storage bucket as its backend service.","Create a VM from the instance template. Create an App Engine application in
Automatic Scaling mode that forwards all traffic to the VM.","Create a managed instance group based on the instance template. Configure
autoscaling based on HTTP traffic and configure the instance group as the
backend service of an HTTP load balancer","Create the necessary amount of instances required for peak user traffic based on
the instance template. Create an unmanaged instance group and add the instances
to that instance group. Configure the instance group as the Backend Service of an
HTTP load balancer",,3,Google cloud Certified Professional cloud Architech,5
26,"One of the customers want to redact the sensitive data like credit card numbers , social security
numbers that are generated by the application logs .Please select the suitable service that fulfils the
necessary requirement .",Cloud Data Loss Prevention,Cloud Secure,VPC Service control,Cloud Armour,,1,Google cloud Certified Professional cloud Architech,5
27,"For future phases, Dress4Win is looking at options to deploy data analytics to the Google Cloud.
Which option meets their business and technical requirements?","Run current jobs from the current technical environment on Google Cloud
Dataproc.","Review all current data jobs. Identify the most critical jobs and create Google
BigQuery tables to storeand query data","Review all current data jobs. Identify the most critical jobs and develop Google
Cloud Data and pipelines to process data.","Deploy a Hadoop/Spark cluster to Google Compute Engine virtual machines. Move
current jobs fromthe current technical environment and run them on the
Hadoop/Spark cluster.",,1,Google cloud Certified Professional cloud Architech,5
28,"What activity is carried out after the data is transferred to Transfer Appliance to reverse compression,
deduplication and encryption which are carried out while transferring the data to a transfer appliance?",Link Aggregation,Data Rehydration,Data Capture,Data Recapture,,2,Google cloud Certified Professional cloud Architech,5
29,"Your company plans to migrate a multi-petabyte data set to the cloud. The data set must be available
24hrs a day. Your business analysts have experience only with using an SQL interface. How should you
store the data to optimize it for ease of analysis?",Load data into Google BigQuery,Insert data into Google Cloud SQL,Put flat files into Google Cloud Storage.,Stream data into Google Cloud Datastore.,,1,Google cloud Certified Professional cloud Architech,5
30,"For this question, refer to the TerramEarth case study
You analyzed TerramEarth's business requirement to reduce downtime and found that they can
achieve a majority of time saving by reducing customers' wait time for parts. You decided to focus on
reduction of the 3 weeks aggregate reporting time. Which modifications to the company's processes
should you recommend?","Migrate from CSV to binary format, migrate from FTP to SFTP transport, and develop
machine learning analysis of metrics.","Migrate from FTP to streaming transport, migrate from CSV to binary format, and
develop machine learning analysis of metrics.","Increase fleet cellular connectivity to 80%, migrate from FTP to streaming
transport, and develop machine learning analysis of metrics.","Migrate from FTP to SFTP transport, develop machine learning analysis of metrics,
and increase dealer local inventory by a fixed factor",,3,Google cloud Certified Professional cloud Architech,5
31,"You can SSH into an instance from another instance in the same VPC by its internal IP address, but not
its external IP address. What is one possible reason why this is so?","The outgoing instance does not have correct permission granted to its service
account.",The external IP address is disabled,The firewall rule to allow SSH is restricted to the internal VPC.,The receiving instance has an ephemeral address instead of a reserved address,,2,Google cloud Certified Professional cloud Architech,5
32,"You are helping the QA team to roll out a new load-testing tool to test the scalability of your primary
cloud services that run on Google Compute Engine with Cloud Bigtable. Which three requirements
should they include? Choose 3 answers",Ensure all third-party systems your services used are capable of handling high load.,"Instrument the load-testing tool and the target services with detailed logging
and metrics collection.",Create a separate Google Cloud project to use for the load-testing environment.,"Instrument the production services to record every transaction for replay by the
load- testing tool.",Ensure that the load tests validate the performance of Cloud Bigtable,2&3&5,Google cloud Certified Professional cloud Architech,5
33,"For this question, refer to the MountKirk Games case study:
MountKirk Games needs to set up their game backend database. Based on their requirements, which
storage service best fits their needs?",Cloud SQL,Cloud Dataflow,Host database on a Compute Engine NoSQL instance.,Cloud Datastore,,4,Google cloud Certified Professional cloud Architech,5
34,"You want to enable your running Google Container Engine cluster to scale as demand for your
application changes. What should you do? Select one","Add additional nodes to your Container Engine cluster using the following
command: gcloud container clusters resize CLUSTER_NAME --size 10","Add a tag to the instances in the cluster with the following command: gcloud
compute instances add-tags INSTANCE --tags enable-autoscaling max-nodes-10","Update the existing Container Engine cluster with the following command:
gcloud container clusters update CLUSTER_NAME --enable-autoscaling --minnodes=
l --max-nodes=10","Create a new Container Engine cluster with the following command: gcloud
container clusters create CLUSTER_NAME --enable-autoscaling --min-nodes=l --
max-nodes=10 and redeploy your application",,3,Google cloud Certified Professional cloud Architech,5
