Sr.NO,Question,Option 1,Option2,Option3,Option4,Option5,Option 6,Correct OPtion (note:- if Correct option is Option 1 then insert 1),Category Name ,Marks
1,"A Developer is migrating an on-premises web application to the AWS Cloud. The
application currently runs on a 32-processor server and stores session state in memory.
On Friday afternoons the server runs at 75% CPU utilization, but only about 5% CPU
utilization at other times.
How should the Developer change to code to better take advantage of running in the
cloud?",Compress the session state data in memory,Store session state on EC2 instance Store,Encrypt the session state data in memory,Store session state in an ElastiCache cluster,,,4,Developer,5
2,"An organization’s application needs to monitor application specific events with a standard
AWS service. The service should capture the number of logged in users and trigger
events accordingly. During peak times, monitoring frequency will occur every 10 seconds.
What should be done to meet these requirements",Create an Amazon SNS notification,Create a standard resolution custom Amazon CloudWatch log,Create a high-resolution custom Amazon CloudWatch metric,Create a custom Amazon CloudTrail log,,,3,Developer,5
3,"A Developer working on an AWS CodeBuild project wants to override a build command as
part of a build run to test a change. The developer has access to run the builds but does
not have access to edit the CodeBuild project
What process should the Developer use to override the build command?","Update the buildspec.yml configuration file that is part of the source code
and run a new build.","Update the command in the Build Commands section during the build run
in the AWS console","Run the start build AWS CLI command
with buildspecOverride property set to the new buildspec.yml file","Update the buildspec property in the StartBuild API to override the build
command during build run.",,,3,Developer,5
4,"A Developer is building an application that needs access to an S3 bucket. An IAM role is
created with the required permissions to access the S3 bucket. Which API call should the
Developer use in the application so that the code can access to the S3 bucket?",IAM: AccessRole,STS: GetSessionToken,IAM:GetRoleAccess,STS:AssumeRole,,,4,Developer,5
5,"A Developer is migrating an on-premises application to the AWS Cloud. The application
currently uses Microsoft SQL, encrypting some of the data using Transparent Data
Encryption. Which service should the Developer use to minimize code changes?",Amazon RDS,Amazon Aurora,Amazon Redshift,Amazon DynamoDB,,,1,Developer,5
6,"A developer is using Amazon API Gateway as an HTTP proxy to a backend endpoint. There
are three separate environments: Development, Testing, Production and three
corresponding stages in the API gateway.
How should traffic be directed to different backend endpoints for each of these stages
without creating a separate API for each?","Add a model to the API and add a schema to differentiate different
backend endpoints","Use stage variables and configure the stage variables in the HTTP
integration Request of the API","Use API Custom Authorizers to create an authorizer for each of the
different stages","Update the Integration Response of the API to add different backend
endpoints.",,,2,Developer,5
7,"A developer is writing an application that will store data in a DynamoDB table. The ratio of
reads operations to write operations will be 1000 to 1, with the same data being accessed
frequently.
What should the Developer enable on the DynamoDB table to optimize performance and
minimize costs?",Amazon DynamoDB auto scaling,Amazon DynamoDB cross-region replication,Amazon DynamoDB Streams,Amazon DynamoDB Accelerator,,,4,Developer,5
8,"A company is planning on using AWS CodePipeline for their underlying CI/CD process.
The code will be picked up from an S3 bucket. The company policy mandates that all data
should be encrypted at rest and that the keys are managed by the customer. Which of the
following measures would you take to ensure that the CI/CD process conforms to this
policy? Choose 2 possible actions from the options given below.",Ensure that server-side encryption is enabled on the S3 Bucket,Ensure that server-side encryption is enabled on the CodePipeline stage,Configure the code pickup stage in CodePipeline to use AWS KMS,"Configure AWS KMS with customer managed keys and use it for S3
bucket encryption",,,"1,4",Developer,5
9,"An application hosted in AWS has been configured to use a DynamoDB table. A number of
items are written to the DynamoDB table. These items are only accessed in a particular
time frame, after which they can be deleted. Which of the following is an ideal way to
manage the deletion of the stale items?","Perform a scan on the table for the stale items and issue the Delete
operation.","Create an additional column to store the date. Perform a query for the stale
objectsand the perform the Delete operation.","Enable versioning for the items in DynamoDB and delete the last accessed
version",Enable TTL for the items in DynamoDB,,,4,Developer,5
10,"Your team has been instructed on deploying a Microservices and an ETL based
application onto AWS. There is a requirement to manage the orchestration of application.
Which of the following would the ideal way to implement this with the least amount of
administrative effort?",Use the Elastic Beanstalk Service,Use the Elastic Container Service,Deploy Kubernetes on EC2 Instances,Use the Opswork service,,,2,Developer,5
