Question,Option1,Option2,Option3,Option4,Option5,Option6,"Correct Option
(Note:- if correct option is Option1 then insert 1)",Category Name,Marks
"You have an application running in us-west-2 requiring 6 EC2 Instances running at all
times. With 3 Availability Zones in the region viz. us-west-2a, us-west-2b, and us-west-2c,

which of the following deployments provides fault tolerance if an Availability Zone in us-
west-2 becomes unavailable?

Choose 2 answers from the options given below.","2 EC2 Instances in us-west-2a, 2 EC2 Instances in us-west-2b, and 2 EC2
Instances in us-west-2c","3 EC2 Instances in us-west-2a, 3 EC2 Instances in us-west-2b, and no EC2
Instances in us-west-2c","4 EC2 Instances in us-west-2a, 2 EC2 Instances in us-west-2b, and 2 EC2
Instances in us-west-2c","6 EC2 Instances in us-west-2a, 6 EC2 Instances in us-west-2b, and no
EC2 Instances in us-west-2c","3 EC2 Instances in us-west-2a, 3 EC2 Instances in us-west-2b, and 3
EC2 Instances in us-west-2c",,4&5,AWS Arch Associate,5
"For which of the following scenarios should a Solutions Architect consider using
ElasticBeanStalk?
Choose 3 answers from the options given below.",A Web application using Amazon RDS,A long running worker process,A static website,A management task run once on nightly basis,,,"1,2&3",AWS Arch Associate,5
"While reviewing the Auto Scaling events for your application, you notice that your
application is scaling up and down multiple times in the same hour.
What design choice could you make to optimize costs while preserving elasticity?
Choose 2 answers from the options given below.","Modify the Auto Scaling group termination policy to terminate the older
instance first.","Modify the Auto Scaling group termination policy to terminate the newest
instance first.",Modify the Auto Scaling group cool down timers.,Modify the Auto Scaling group to use Scheduled Scaling actions.,"Modify the CloudWatch alarm period that triggers your Auto Scaling
scale down policy",,3&5,AWS Arch Associate,5
"A company hosts a popular web application that connects to an Amazon RDS MySQL DB
instance running in a default VPC private subnet created with default ACL settings. The
web servers must be accessible only to customers on an SSL connection and the
database must only be accessible to web servers in a public subnet. Which solution meets
these requirements without impacting other running applications?
Select 2 answers from the options given below.","Create a network ACL on the Web Server's subnets, allow HTTPS port 443
inbound and specify the source as 0.0.0.0/0","Create a Web Server security group that allows HTTPS port 443
inbound traffic from anywhere(0.0.0.0/0) and apply it to the Web
Servers.","Create a DB Server security group that allows MySQL port 3306
inbound and specify the source as the Web Server security group.","Create a network ACL on the DB subnet, allow MySQL port 3306 inbound
for Web Servers and deny all outbound traffic.","Create a DB Server security groups that allows HTTPS port 443 inbound and
specify the source as a Web Server security group.",,2&3,AWS Arch Associate,5
"A Redshift cluster currently contains 60TB of data. There is a requirement that a disaster
recovery site is put in place in a region located 600km away. Which of the following
solutions would help ensure that this requirement is fulfilled?","Take a copy of the underlying EBS volumes to S3, and then do Cross-
Region Replication.",Enable Cross-Region snapshots for the Redshift Cluster.,Create a CloudFormation template to restore the Cluster in another region.,Enable Cross Availability Zone snapshots for the Redshift Cluster.,,,2,AWS Arch Associate,5
"A company is using a Redshift cluster to store their data warehouse. There is a
requirement from the Internal IT Security team to encrypt data for the Redshift database.
How can this be achieved?",Encrypt the EBS volumes of the underlying EC2 Instances.,Use AWS KMS Customer Default master key.,Use SSL/TLS for encrypting the data.,Use S3 Encryption.,,,2,AWS Arch Associate,5
"An application hosted on EC2 Instances has its promotional campaign due to start in 2
weeks. There is a mandate from the management to ensure that no performance
problems are encountered due to traffic growth during this time. Which of the following
must be done to the Auto Scaling Group to ensure this requirement can be fulfilled?",Configure Step scaling for the Auto Scaling Group.,Configure Dynamic Scaling and use Target tracking scaling Policy,Configure Scheduled scaling for the Auto Scaling Group,Configure Static scaling for the Auto Scaling Group,,,2,AWS Arch Associate,5
"A database is being hosted using the AWS RDS service. This database is to be made into a
production database and is required to have high availability. Which of the following can
be used to achieve this requirement?","Use Multi-AZ for the RDS instance to ensure that a secondary database is
created in another region.","Use the Read Replica feature to create another instance of the DB in
another region.","Use Multi-AZ for the RDS instance to ensure that a secondary
database is created in another Availability Zone.","Use the Read Replica feature to create another instance of the DB in
another Availability Zone.",,,3,AWS Arch Associate,5
"You require the ability to analyze a customer’s clickstream data on a website so they can
do a behavioral analysis. Your customer needs to know what sequence of pages and ads
their customer clicked on. This data will be used in real time to modify the page layouts as
customers click through the site to increase stickiness and advertising click-through.
Which option meets the requirements for capturing and analyzing this data?","Log clicks in weblogs by URL store to Amazon S3, and then analyze with
Elastic MapReduce.","Push web clicks by session to Amazon Kinesis and analyze behavior
using Kinesis workers.",Write click events directly to Amazon Redshift and then analyze with SQL.,"Publish web clicks by session to an Amazon SQS queue. Then send the
events to AWS RDS for further processing.",,,2,AWS Arch Associate,5
"A company has an infrastructure that consists of machines which keep sending log
information every 5 minutes. The number of these machines can run into thousands and it
is required to ensure that the data can be analyzed at a later stage. Which of the following
would help in fulfilling this requirement?","Use Kinesis Data Streams with S3 to take the logs and store them in S3
for further processing","Launch an Elastic Beanstalk application to take the processing job of the
logs.","Launch an EC2 instance with enough EBS volumes to consume the logs
which can be usedfor further processing.",Use CloudTrail to store all the logs which can be analyzed at a later stage.,,,1,AWS Arch Associate,5
